cn_0,虽然通常没什么威力，但有很低的机率来一次杀死对方。
cn_1052,"亨特狩猎时收获的皮革，可制作成为精良的防具。 \n任务道具"
cn_1053,零散的库洛碎片。
cn_1054,狮鹫的轻质羽毛。
cn_1055,受精灵祝福，精炼而成的粉末。
cn_1056,炼金术师提炼的神秘溶液，可溶解特定物品。
cn_1057,"伊丁大陆上罕见的无名徽章，据说收集一定数量后，可跟德拉斯兑换专属装备。\n特殊物品"
cn_1058,"尖刺制造而成的皮凉鞋。\n激活套装后：防御-3。\n\f=套装组件含：头盔、盔甲、盾牌、鞋"
cn_1059,"泽斯收藏多年的珍贵金属，是打造装备的上等材料。\n任务道具"
cn_1060,"来自虚空的陨铁，在伊丁大陆上十分罕见。\n任务道具"
cn_1061,"诡异的骨头，蕴含着亡灵的恐怖力量。\n任务道具"
cn_1062,"沾有血迹的破碎皮革，写着疑似坐标轴的奇怪数字。\n(X:32758)\n任务道具"
cn_1063,"沾有血迹的破碎皮革，写着疑似坐标轴的奇怪数字。\n(Y:32745)\n任务道具"
cn_1064,"散发着死亡气息的骨髓。\n任务道具"
cn_1065,"神圣的力量解除邪恶束缚，枉死的灵魂得以救赎。\n任务道具"
cn_1066,"颤动的肉石之心。\n任务道具"
cn_1067,"邪恶的力量拘禁了灵魂，亡灵坠入黑暗深渊，等待正义的救赎。\n任务道具"
cn_1068,"奈特的地图,记录着应许之地建一层通往二层的入口。\n坐标(32678,32726)\n任务道具"
cn_1069," 一份记有古老隧道信息的手稿。\n任务道具"
cn_1070,"神秘的力量精华，蕴含的能量十分强大。\n任务道具"
cn_1071,"受到邪恶气息侵染的灵魂晶石。\n任务道具"
cn_1072,"死亡骑士赋予骷髅军团的力量之源。\n任务道具"
cn_1073,"来自遥远星际的陨石。\n任务道具"
cn_1074,"螳螂人的心脏，已被邪恶侵蚀。\n任务道具"
cn_1075,"尖锐巨牙，取自人狼。\n任务道具"
cn_1076,"尸体腐烂后的液体。\n任务道具"
cn_1077,"不腐不坏的坚硬肉块。\n任务道具"
cn_1078,"封装好的货物箱子。\n任务道具"
cn_1079,"装有大量粮食的包裹。\n任务道具"
cn_1080,诡异的魔法石盒。
cn_1081,伊丁世界与创世神伊丁天堂签订的誓约之书。
cn_1082,亘古时代的珍贵铂金币，经历沧桑岁月，依然光泽明亮，可与神秘商人购买物资。
cn_1083,记载着武器研究心得的珍贵卷轴，可对武器进行强化升级。 \n强化等级为7以上，与普通强化卷轴一样效果。
cn_1084,"平民家中常见的粮食。\n任务道具"
cn_1085,"可用于加固房屋的木材。\n任务道具"
cn_1086,"守卫常用的普通木弓。\n任务道具"
cn_1087,"侏儒战士头上戴着的头盔。\n任务道具"
cn_1088,"神秘的紫色药水。\n任务道具"
cn_1089,"兽人战士身上的毛发。\n任务道具"
cn_1090,"装着药品的箱子。\n任务道具"
cn_1091,"来自丧尸身上的腐肉。\n任务道具"
cn_1092,"魔眼的灵魂被封印于晶石中。\n任务道具"
cn_1093,"来自丧尸身上的腐肉。\n任务道具"
cn_1094,"稀有的水果，传说吃下后可获得永生。\n任务道具"
cn_1095,"丧尸身上破旧衣服的一部分。\n任务道具"
cn_1096,"狼人手上尖锐的爪牙。\n任务道具"
cn_1097,"阿特玛丈夫的结婚戒指。\n任务道具"
cn_1098,"骷髅的骨骼早已经和生前穿戴的盔甲融合在一起。\n任务道具"
cn_1099,"尸罗蜘蛛强而有力的牙。\n任务道具"
cn_1100,"兽人战士常用的斧头。\n任务道具"
cn_1101,"不死鸟身上的羽毛，据说能医治任何疾病。\n任务道具"
cn_1102,"恰西的魔法阵的魔石。\n任务道具"
cn_1103,"散发着邪恶魔法的戒指，是恰西邪恶魔法的来源。\n任务道具"
cn_1104,"雷文的家族戒指。\n任务道具"
cn_1105,"由应许村守卫所颁发的勇士徽章。\n任务道具"
cn_1106,"初心者训练之用。"
cn_1107,"侏儒手中的凭证\n任务道具"
cn_1108,"哥布林手中的匕首\n任务道具"
cn_1109,"德雷克仆从的灵魂\n任务道具"
cn_1110,"一片巨型植物的花瓣\n任务道具"
cn_1111,"巨型植物的花籽\n任务道具"
cn_1112,"被侏儒盗取的金属块\n任务道具"
cn_1113,"被哥布林盗取的物资\n任务道具"
cn_1114,"地精手中的棍\n任务道具"
cn_1115,"经过长时间使用，已经破损严重的弓\n任务道具"
cn_1116,"证明霍布哥布林骚扰农场的证据\n任务道具"
cn_1117,"长得像火一样的草\n任务道具"
cn_1118,"爱人间的信物\n任务道具"
cn_1119,"士兵身份的证明\n任务道具"
cn_1120,"人生前的怨念，死后化为灵魂结晶，使人成为行尸走肉的丧尸\n任务道具"
cn_1121,"魔眼身上的肉\n任务道具"
cn_1122,"狼人死后的灵魂的结晶\n任务道具"
cn_1123,"一大块金属，在部分地下组织是流通货币\n任务道具"
cn_1124,"蜘蛛身上的腿\n任务道具"
cn_1125,"狼人身上的獠牙\n任务道具"
cn_1126,"尸罗蜘蛛吐出的蜘蛛丝\n任务道具"
cn_1127,"蜘蛛身上的毒液\n任务道具"
cn_1128,"护法者之间信息传递的信函\n任务道具"
cn_1129,"人狼身上的皮毛\n任务道具"
cn_1130,"吉尔维格 [魔法书]想你帮忙销毁这些破旧不堪的魔法书。 \n任务道具"
cn_1131,"已经不能再使用了的头盔，邪恶者用来攻击你的投掷道具。上面有写着安德鲁 [仓库]的名字。把这头盔归还给安德鲁 [仓库]吧！ \n任务道具"
cn_1132,"附有魔法的斧头，上面标注了永生之果之树的位置。"
cn_1133,"能够解放被束缚的灵魂的道具，上面标注了阿特玛的丈夫最后出现的地方。"
cn_1134,"爱西亚的地图，上面标注了不死鸟之羽的坐标。"
cn_1135,"\f3试炼到期日为真实时间，并非在线时间。\f>\n强者获得进入试炼之地之资格的证明。手持这个证明的强者，可以和骑特拉城镇的\fW加百利[强者试炼]\f>对话，在限定期间内，多次进入试炼之地。"
cn_1136,破碎盔甲的碎片\n任务道具
cn_1137,骷髅的骨头\n任务道具
cn_1138,"远古时代的弓弩，神弃之岛专属掉落，可用神印卷轴解除封印，极为珍稀。"
cn_1139,"远古时代的双手剑，神弃之岛专属掉落，可用神印卷轴解除封印，极为珍稀。"
cn_1140,"远古时代的单手剑，神弃之岛专属掉落，可用神印卷轴解除封印，极为珍稀。"
cn_1141,"远古时代的匕首，神弃之岛专属掉落，可用神印卷轴解除封印，极为珍稀。"
cn_1142,"远古时代的长矛，神弃之岛专属掉落，可用神印卷轴解除封印，极为珍稀。"
cn_1143,"远古时代的战斧，神弃之岛专属掉落，可用神印卷轴解除封印，极为珍稀。"
cn_1144,"远古时代的弓弩\n\f3[已封存]：不可使用，不可强化，不可交易，不可销毁\n\f>随着后续版本更新，远古武器将会解除封存，而且会变得更强，敬请期待"
cn_1145,"远古时代的双手剑\n\f3[已封存]：不可使用，不可强化，不可交易，不可销毁\n\f>随着后续版本更新，远古武器将会解除封存，而且会变得更强，敬请期待"
cn_1146,"远古时代的单手剑\n\f3[已封存]：不可使用，不可强化，不可交易，不可销毁\n\f>随着后续版本更新，远古武器将会解除封存，而且会变得更强，敬请期待"
cn_1147,"远古时代的匕首\n\f3[已封存]：不可使用，不可强化，不可交易，不可销毁\n\f>随着后续版本更新，远古武器将会解除封存，而且会变得更强，敬请期待"
cn_1148,"远古时代的长矛\n\f3[已封存]：不可使用，不可强化，不可交易，不可销毁\n\f>随着后续版本更新，远古武器将会解除封存，而且会变得更强，敬请期待"
cn_1149,"远古时代的战斧\n\f3[已封存]：不可使用，不可强化，不可交易，不可销毁\n\f>随着后续版本更新，远古武器将会解除封存，而且会变得更强，敬请期待"
cn_1150,"弥留创世蒂安神的神力，可解除被封印的远古武器，绝世之宝。"
cn_1151,"远古时代遗留下来的药水，使用后可恢复较多体力。"
cn_1152,"远古时代遗留下来的药水，使用后可恢复大量体力。"
cn_1153,"通往遗忘之岛船只的船票，可以到\fW神弃之岛船夫(32108，33148)\f>处验票登船。"
cn_1154,"含有远古气息的血之结晶，可用于解除被封印的远古武器"
cn_1155,"远古时代遗留下来的药水，使用后可恢复极大量体力。"
cn_1156,"远古生物的怨恨之泪，神弃之岛的爱琳正在收集此物"
cn_1157,"强者试炼必备之书，有此书方可进入次元裂缝挑战"
cn_1158,"一个装着进入次元裂缝门票的盒子，打开可获得次元裂缝门票"
cn_1159,"次元裂缝门票，凭门票进入次元裂缝挑战，过期消失"
cn_1160,"被侏儒盗取的物资\n任务道具"
cn_1161,"哥布林手中的棍\n任务道具"
cn_1162,"死亡之花的枝叶\n任务道具"
cn_1163,"证明弱化霍布哥布林骚扰农场的证据\n任务道具"
cn_1164,"兽人法师所穿的法袍。 \n任务道具"
cn_1165,"昂哥蜘蛛吐出的丝。 \n任务道具"
cn_1166,"狼人的皮。 \n任务道具"
cn_1167,"骷髅手中的盾牌。 \n任务道具"
cn_1168,"骷髅法师手中的法杖。 \n任务道具"
cn_1169,"精英骷髅斧头兵手中的巨斧。 \n任务道具"
cn_1170,"人狼的骨头。 \n任务道具"
cn_1171,"蓝色的结晶。 \n任务道具"
cn_1172,"红色的结晶。 \n任务道具"
cn_1173,"白色的结晶。 \n任务道具"
cn_1174,"褐色的结晶。 \n任务道具"
cn_1175,"食腐魔的胃液，具有强酸性。 \n任务道具"
cn_1176,"地狱犬的獠牙。 \n任务道具"
cn_1177,"兽人僵尸身上所配戴的玉。 \n任务道具"
cn_1178,"枭熊身上的肉。 \n任务道具"
cn_1179,"暗黑精灵身上的箭。 \n任务道具"
cn_1180,"黑暗蜘蛛吐出的蜘蛛网。 \n任务道具"
cn_1181,"兽人卫兵腰间上的徽章。 \n任务道具"
cn_1182,"兽人萨满的血液。 \n任务道具"
cn_1183,"兽人重弩手身上的箭。 \n任务道具"
cn_1184,"为了反对暴政而制作出来的正义之剑。"
cn_1185,"黑骑士军团的专用佩剑，黑骑士军团是阿提拉暴政的执行者！"
cn_1186,"正义的抗争者银骑士军团专用佩剑。"
cn_1187,"传说中可以斩杀巨龙的双手巨剑。"
cn_1188,"身经百战的长柄战矛，开刃见血。"
cn_1189,"精钢打造的半月型战斧。"
cn_1190,"传说中可以斩杀巨龙的双手巨斧。"
cn_1191,"与恶魔交易后获得的魔杖，能加强魔伤。\n强化不会增加魔伤。"
cn_1192,"\f3装备要求：有效精神点数>=22\f>\n与天使交易后获得的魔杖，能加强魔力恢复。\n强化不会增加魔伤。"
cn_1193,"传奇吟游诗人巴德的随身匕首，轻盈锋利。"
cn_1194,"使用奥钢制成的匕首，对不死系怪物伤害加成。"
cn_1195,"尤与伢订立契约后制成的弓，威力强劲"
cn_1196,"铁制头盔，能稍微抵挡魔伤。"
cn_1197,"受精灵女神祝福过的头盔。"
cn_1198,"使用特殊工艺所制成的头盔，刻有加强魔法防御的防护魔法阵。"
cn_1199,"使用特殊工艺所制成的斗篷，绣有加强魔法防御的防护魔法阵。"
cn_1200,"正义的抗争者银骑士军团专用斗篷。"
cn_1201,"梅林曾用过的斗篷，拥有神奇的魔力。"
cn_1202,"异常轻盈的神奇斗篷，披上后依然身轻如燕。"
cn_1203,"使用特殊工艺所制成的T恤，绣有加强魔法防御的防护魔法阵。"
cn_1204,"柔软的皮制护甲。"
cn_1205,"精工锻造的高级皮甲。"
cn_1206,"混入银一起锻造的高级皮甲。"
cn_1207,"混入金一起锻造的高级皮甲。"
cn_1208,"丑陋的锻造师卡司特所锻造的链甲。"
cn_1209,"使用特殊工艺所制成的链甲，刻有加强魔法防御的防护魔法阵。"
cn_1210,"卫兵常用的手套，可增强体力。"
cn_1211,"祭司常用的手套，可增强魔力。"
cn_1212,"受到魔法庇佑的神奇手套，可增强敏捷。"
cn_1213,"受到魔法庇佑的神奇手套，可增强魔攻。"
cn_1214,"使用特殊工艺所制成的手套，绣有加强魔法防御的防护魔法阵。"
cn_1215,"柔软舒适的皮靴。"
cn_1216,"防护能力更好的长皮靴。"
cn_1217,"使用特殊工艺所制成的长靴，绣有加强魔法防御的防护魔法阵。"
cn_1218,"高级巫师所穿的长靴，能够增强穿戴者的智力。"
cn_1219,"高级守卫所穿的长靴，能够增强穿戴者的体质。"
cn_1220,"强盗头目所穿的长靴，能够增强穿戴者的力量。"
cn_1221,"监察守卫所穿的长靴，能够增强穿戴者的精神。"
cn_1222,"精英猎人所穿的长靴，能够增强穿戴者的敏捷。"
cn_1223,"使用特殊工艺所制成的盾牌，刻有加强魔法防御的防护魔法阵。"
cn_1224,"英雄的凭证。 \n在活动期间，可到马洛斯城镇的\fW活动联络者\f>升级为英雄项链Lv.2。"
cn_1225,"精美的项链。\n\n1-5级每强化1级，体力+2，魔力+1\n\n6-10级每强化1级，体力+2，魔力+1，抵抗中毒+1。"
cn_1226,"英雄的凭证。 \n在活动期间，可到马洛斯城镇的\fW活动联络者\f>升级为英雄项链Lv.3。"
cn_1227,"稀有宝石所制成的项链。\n\n1-5级每强化1级，体力+2，魔力+1\n\n6-10级每强化1级，体力+2，魔力+1，抵抗中毒+1"
cn_1228,"英雄的凭证。 \n在活动期间，可到马洛斯城镇的\fW活动联络者\f>升级为英雄项链Lv.4。"
cn_1229,"一名传奇英雄送给女儿的项链，蕴含着守护者的魔力。\n\n1-5级每强化1级，抵抗中毒+1\n\n6-10级每强化1级，抵抗中毒+2"
cn_1230,"力·英雄项链Lv.4：象徵着已成为一名出色的英雄，是力量型英雄的凭证。\n在活动期间，可到马洛斯城镇的\fW活动联络者\f>升级为英雄项链Lv.5。"
cn_1231,"魔·英雄项链Lv.4：象徵着已成为一名出色的英雄，是魔力型英雄的凭证。\n在活动期间，可到马洛斯城镇的\fW活动联络者\f>升级为英雄项链Lv.5。"
cn_1232,"敏·英雄项链Lv.4：象徵着已成为一名出色的英雄，是敏捷型英雄的凭证。\n在活动期间，可到马洛斯城镇的\fW活动联络者\f>升级为英雄项链Lv.5。"
cn_1233,"拥有神奇魔力。\n\n1-5级每强化1级，抵抗致盲+1\n\n6-10级每强化1级，抵抗致盲+1，体力+5"
cn_1234,"拥有神奇魔力。\n\n1-5级每强化1级，抵抗冰冻+1\n\n6-10级每强化1级，抵抗冰冻+1，体力+5"
cn_1235,"拥有神奇魔力。\n\n1-5级每强化1级，抵抗沉默+1\n\n6-10级每强化1级，抵抗沉默+1，体力+5"
cn_1236,"拥有神奇魔力。\n\n1-5级每强化1级，抵抗眩晕+1\n\n6-10级每强化1级，抵抗眩晕+1，体力+5"
cn_1237,"拥有神奇魔力。\n\n1-5级每强化1级，抵抗石化+1\n\n6-10级每强化1级，抵抗石化+1，体力+5"
cn_1238,"拥有神奇魔力。\n\n1-5级每强化1级，抵抗中毒+1\n\n6-10级每强化1级，抵抗中毒+1，体力+5"
cn_1239,"蕴含繁星之力的耳环。\n\n1-5级每强化1级，抵抗石化+1\n\n6-10级每强化1级，抵抗石化+2"
cn_1240,"蕴含月华之力的耳环。\n\n1-5级每强化1级，抵抗石化+1\n\n6-10级每强化1级，抵抗石化+2"
cn_1241,"蕴含日冕之力的耳环。\n\n1-5级每强化1级，抵抗石化+1\n\n6-10级每强化1级，抵抗石化+2"
cn_1242,"经过进一步打磨锻造的铁制战矛，比普通战矛更为锋利。"
cn_1243,"象徵友善的指环。\n1-10级每强化1级，体力恢复+1。"
cn_1244,"象徵和平的指环。\n1-10级每强化1级，体力恢复+1"
cn_1245,"充满生命能量的戒指。\n1-10级每强化1级，体力恢复+1，魔力恢复+1。"
cn_1246,"使用特殊工艺所制成的戒指，刻有加强魔法防御的防护魔法阵。\n1-10级每强化1级，体力+2。"
cn_1247,"蕴含火之元素的戒指。\n1-3每级强化，火防+2\n4-6每级强化，火防+4\n7-10每级强化，火防+6"
cn_1248,"蕴含水之元素的戒指。\n1-3每级强化，水防+2\n4-6每级强化，水防+4\n7-10每级强化，水防+6"
cn_1249,"蕴含土之元素的戒指。\n1-3每级强化，土防+2\n4-6每级强化，土防+4\n7-10每级强化，土防+6"
cn_1250,"蕴含风之元素的戒指。\n1-3每级强化，风防+2\n4-6每级强化，风防+4\n7-10每级强化，风防+6"
cn_1251,"有点破旧的腰带。\n1-10级每强化1级，体力+2。"
cn_1252,"有点破旧的腰带。\n1-10级每强化1级，体力+2，魔力+1。"
cn_1253,"有点破旧的腰带。\n1-10级每强化1级，魔力+2。"
cn_1254,"全新的腰带。\n\n1-5级每强化1级，体力+2\n\n6-10级每强化1级，体力+3"
cn_1255,"全新的腰带。\n\n1-5级每强化1级，体力+3，魔力+1\n\n6-10级每强化1级，体力+4，魔力+2"
cn_1256,"全新的腰带。\n\n1-5级每强化1级，魔力+2\n\n6-10级每强化1级，魔力+3"
cn_1257,"白银长剑"
cn_1258,"黄金长剑"
cn_1259,"扭曲的长剑，充满邪恶力量。"
cn_1260,"传说中的大预言家所使用的神剑。"
cn_1261,"半月形的单手弩，威力强劲。"
cn_1262,"轻盈且威力强大的弓，是猎人的好搭档。"
cn_1263,"一阶武器净化药水"
cn_1264,"二阶武器净化药水"
cn_1265,"三阶武器净化药水"
cn_1266,"四阶武器净化药水"
cn_1267,"五阶武器净化药水"
cn_1268,"六阶武器净化药水"
cn_1269,"七阶武器净化药水"
cn_1270,"八阶武器净化药水"
cn_1271,"九阶武器净化药水"
cn_1272,"一阶防具净化药水"
cn_1273,"二阶防具净化药水"
cn_1274,"三阶防具净化药水"
cn_1275,"四阶防具净化药水"
cn_1276,"五阶防具净化药水"
cn_1277,"六阶防具净化药水"
cn_1278,"七阶防具净化药水"
cn_1279,"八阶防具净化药水"
cn_1280,"九阶防具净化药水"
cn_1281,"一阶饰品净化药水"
cn_1282,"二阶饰品净化药水"
cn_1283,"三阶饰品净化药水"
cn_1284,"四阶饰品净化药水"
cn_1285,"五阶饰品净化药水"
cn_1286,"六阶饰品净化药水"
cn_1287,"七阶饰品净化药水"
cn_1288,"八阶饰品净化药水"
cn_1289,"九阶饰品净化药水"
cn_1290,"合成武士刀的关键素材。\n\n武士刀属性：\n职业：全部职业\n大怪伤害：12\n小怪伤害：10\n命中+1"
cn_1291,"合成暗魂骑士之剑的关键素材。"
cn_1292,"合成银骑士之剑的关键素材。"
cn_1293,"瑕疵的白银长剑"
cn_1294,"瑕疵的黄金长剑"
cn_1295,"合成疯魔长剑的关键素材。"
cn_1296,"合成预言家之剑的关键素材。"
cn_1297,"合成双手剑的关键素材。"
cn_1298,"合成沙鲁战矛的关键素材。"
cn_1299,"合成精钢巨斧的关键素材。\n\n精钢巨斧属性：\n职业：[骑][王]\n大怪伤害：22\n小怪伤害：18\n命中+3\n不会损坏"
cn_1300,"合成巨龙战斧的关键素材。"
cn_1301,"合成玛娜之杖的关键素材。\n\n玛娜之杖属性：\n职业：[法]\n大怪伤害：3\n小怪伤害：3\n吸魔+3\n不会损坏"
cn_1302,"合成黑暗法杖的关键素材。"
cn_1303,"合成光明法杖的关键素材。"
cn_1304,"合成巴德匕首的关键素材。\n\n巴德匕首属性：\n职业：全部职业\n使用等级下限：45\n大怪伤害：6\n小怪伤害：6\n伤害+1"
cn_1305,"合成奥鲁短匕的关键素材。"
cn_1306,"合成十字短弓的关键素材。\n\n十字短弓属性：\n职业：全部职业\n大怪伤害：3\n小怪伤害：2\n伤害+2\n命中+3\n不会损坏"
cn_1307,"合成尤伢之弓的关键素材。"
cn_1308,"合成月弩的关键素材。"
cn_1309,"合成猎人之弓的关键素材。"
cn_1310,"合成尖刺皮帽的关键素材。\n\n尖刺皮帽属性：\n职业:全职业\n防御：-1"
cn_1311,"合成骑士头盔的关键素材。\n\n骑士头盔属性：\n职业：[骑]\n防御：-2"
cn_1312,"合成巴拉尔头盔的关键素材。\n\n巴拉尔头盔属性：\n职业：全部职业\n防御：-1\n魔防+3"
cn_1313,"合成魔法头盔:治愈的关键素材。"
cn_1314,"合成魔法头盔:力量的关键素材。"
cn_1315,"合成克魔头盔的关键素材。"
cn_1316,"合成灭魔头盔的关键素材。"
cn_1317,"合成钢铁套装的关键素材。"
cn_1318,"合成红骑士头巾的关键素材。"
cn_1319,"合成精灵头盔的关键素材。"
cn_1320,"合成油布斗篷的关键素材。\n\n油布斗篷属性：\n职业：全部职业\n防御：-1\n体力+10\n魔力+5"
cn_1321,"合成银纹斗篷的关键素材。\n\n银纹斗篷属性：\n职业：全部职业\n防御：-1\n魔力+5\n魔力恢复+2"
cn_1322,"合成红纹斗篷的关键素材。\n\n红纹斗篷属性：\n职业：全部职业\n防御：-1\n体力+10\n体力恢复+2"
cn_1323,"合成防护斗篷的关键素材。\n\n防护斗篷属性：\n职业：全部职业\n防御：-2"
cn_1324,"合成克魔斗篷的关键素材。"
cn_1325,"合成灭魔斗篷的关键素材。"
cn_1326,"合成银骑士斗篷的关键素材。\n\n银骑士斗篷属性：\n职业：全部职业\n防御：-1\n力量+1"
cn_1327,"合成先知斗篷的关键素材。"
cn_1328,"合成灵敏斗篷的关键素材。"
cn_1329,"合成T恤的关键素材。\n\nT恤属性：\n职业：全部职业\n防御：0"
cn_1330,"合成克魔T恤的关键素材。"
cn_1331,"合成灭魔T恤的关键素材。"
cn_1332,"合成软皮甲的关键素材。\n\n软皮甲属性：\n职业：全部职业\n防御：-2"
cn_1333,"合成精锻皮甲的关键素材。"
cn_1334,"合成银丝皮甲的关键素材。"
cn_1335,"合成金丝皮甲的关键素材。"
cn_1336,"合成卡司特链甲的关键素材。\n\n卡司特链甲属性：\n职业：[骑][王][法]\n防御：-5"
cn_1337,"合成克魔链甲的关键素材。"
cn_1338,"合成精灵护胸金属板的关键素材。"
cn_1339,"合成灭魔链甲的关键素材。"
cn_1340,NULL
cn_1341,"合成精灵链甲的关键素材。"
cn_1342,"合成体力手套的关键素材。\n\n体力手套属性：\n职业：全部职业\n防御：0\n体力+10"
cn_1343,"合成魔力手套的关键素材。\n\n魔力手套属性：\n职业：全部职业\n防御：0\n魔力+5"
cn_1344,"合成防护手套的关键素材。"
cn_1345,NULL
cn_1346,"合成敏捷手套的关键素材。"
cn_1347,"合成魔攻手套的关键素材。"
cn_1348,"合成力量手套的关键素材。"
cn_1349,"合成克魔手套的关键素材。"
cn_1350,"合成灭魔手套的关键素材。"
cn_1351,"合成软皮靴的关键素材。\n\n软皮靴属性：\n职业：全部职业\n防御：-1"
cn_1352,"合成短靴的关键素材。\n\n短靴属性：\n职业：全部职业\n防御：0\n体力+10"
cn_1353,"合成长靴的关键素材。\n\n长靴属性：\n职业：全部职业\n防御：0\n魔力+15"
cn_1354,"合成克魔长靴的关键素材。"
cn_1355,"合成修炼者长靴的关键素材。"
cn_1356,"合成守护者长靴的关键素材。"
cn_1357,"合成掠夺者长靴的关键素材。"
cn_1358,"合成监察者长靴的关键素材。"
cn_1359,"合成听风者长靴的关键素材。"
cn_1360,"合成灭魔长靴的关键素材。"
cn_1361,NULL
cn_1362,"合成小盾牌的关键素材。\n\n小盾牌属性：\n职业：全部职业\n防御：-1\n体力+10"
cn_1363,"合成大盾牌的关键素材。\n\n大盾牌属性：\n职业：[骑][王][精]\n防御：-2"
cn_1364,NULL
cn_1365,"合成银骑士之盾的关键素材。"
cn_1366,"合成红骑士之盾的关键素材。"
cn_1367,"合成克魔之盾的关键素材。"
cn_1368,"合成精灵盾牌的关键素材。"
cn_1369,"合成莉雅项链的关键素材。\n\n莉雅项链属性：\n职业：全部职业\n防御：0\n体力+10\n魔力+10\n1-10每级强化，体力+2，魔力+1\n6-10每级强化，抵抗中毒+1"
cn_1370,"合成卑弥儿项链的关键素材。"
cn_1371,"合成守护项链的关键素材。"
cn_1372,"合成比诺耳环的关键素材。"
cn_1373,"合成亚安耳环的关键素材。"
cn_1374,"合成索里耳环的关键素材。"
cn_1375,"合成欧吉耳环的关键素材。"
cn_1376,"合成卡莎耳环的关键素材。"
cn_1377,"合成凯鸣耳环的关键素材。"
cn_1378,"合成繁星耳环的关键素材。"
cn_1379,"合成月华耳环的关键素材。"
cn_1380,"合成日冕耳环的关键素材。"
cn_1381,"合成能量戒指的关键素材。"
cn_1382,"合成克魔戒指的关键素材。"
cn_1383,"合成破旧的体力腰带的关键素材。\n\n破旧的体力腰带属性：\n职业：全部职业\n防御：0\n体力+30\n1-10每级强化，体力+2"
cn_1384,"合成破旧的能量腰带的关键素材。\n\n破旧的能量腰带属性：\n职业：全部职业\n防御：0\n体力+15\n魔力+15\n1-10每级强化，体力+2，魔力+1"
cn_1385,"合成破旧的魔力腰带的关键素材。\n\n破旧的魔力腰带属性：\n职业：全部职业\n防御：0\n魔力+30\n1-10每级强化，魔力+2"
cn_1386,"合成体力腰带的关键素材。"
cn_1387,"合成能量腰带的关键素材。"
cn_1388,"合成魔力腰带的关键素材。"
cn_1389,"合成巨魔腰带的关键素材。"
cn_1390,"合成卡萨战矛的关键素材。\n\n卡萨战矛属性：\n职业：[骑][王]\n大怪伤害：15\n小怪伤害：15\n伤害+1"
cn_1391,"久经沙场的战矛，据说已有生命，以鲜血为食。"
cn_1392,"发出蓝色光芒的魔石"
cn_1393,"发出黑色光芒的魔石"
cn_1394,"发出绿色光芒的魔石"
cn_1395,"由一些细小的黄金组成的沙堆"
cn_1396,"毒物身上萃取能致命的毒液"
cn_1397,"哈尔皮埃身上漂亮的羽毛"
cn_1398,"死亡之花美丽的花苞"
cn_1399,"毒物身上萃取能致命的小型毒液"
cn_1400,"世界树上获取的树枝"
cn_1401,"合成细剑的关键素材"
cn_1402,"合成瑟鲁基之剑的关键素材"
cn_1403,"巫师非常注重帽子，他不想敌人看清他的面容。装备后提高魔伤。"
cn_1404,"锋利无比，能击破一切护甲的神兵利器。"
cn_1405,"合成碎甲之刃的关键素材。"
cn_1406,"合成玛娜水晶球的关键素材。"
cn_1407,"合成红眼魔盾的关键素材。"
cn_1408,"熊的皮\n任务道具"
cn_1409,"布伦丹游历了伊丁各地，这双鞋子帮了他不少忙。\n激活套装后：变身布伦丹，防御-4，体力恢复-7"
cn_1410,"死亡的气息笼罩着马洛斯，每一步的战靴踏地声，都让人心生绝望。\n激活套装后：变身死亡骑士，防御-4，体力恢复-7"
cn_1411,"\f3魔伤+2\f>\n巫师非常注重帽子，他不想敌人看清他的面容。\n激活套装后：魔力+50，土防+5"
cn_1412,"巴拉尔特制的手套，能吸收魔伤。\n每强化1级，魔防+2。\n每强化2级，防御-1。"
cn_1413,"巨魔装备的腰带，挂头骨在腰口，十分恐怖。\n\n1-5级每强化1级，体力+2\n\n6-10级每强化1级，体力+3"
cn_1414,"这么宽大的腰带，足以看出食肉魔的体型有多大。\n\n1-5级每强化1级，体力+2\n\n6-10级每强化1级，体力+3"
cn_1415,"合成食人魔腰带的关键素材。"
cn_1416,"合成大马士革刀的关键素材。\n\n大马士革刀属性：\n职业：全部职业\n大怪伤害：11\n小怪伤害：10\n不会损坏"
cn_1417,"合成银长剑的关键素材。\n\n银长剑属性：\n职业：全部职业\n大怪伤害：12\n小怪伤害：8\n对不死系增伤"
cn_1418,"打开可获得一阶武器净化药水*2，一阶防具净化药水*4。"
cn_1419,"刀锋手上的刀。 \n任务道具"
cn_1420,"恐爪怪手上的爪。 \n任务道具"
cn_1421,"暗魂骑士斧头兵手上的斧头。 \n任务道具"
cn_1422,"暗魂骑士弓箭手手上的弓。 \n任务道具"
cn_1423,"暗魂骑士手上的剑。 \n任务道具"
cn_1424,"暗魂药师手上的法杖。 \n任务道具"
cn_1425,"被邪恶之力所包围的指环。\n1-5级每强化1级，抵抗眩晕+1；\n6-10级每强化1级，抵抗眩晕+3。"
cn_1426,"被邪恶魔力所包围的指环。\n1-5级每强化1级，抵抗眩晕+1；\n6-10级每强化1级，抵抗眩晕+3。"
cn_1427,"暗魂骑士的本体。"
cn_1428,"散发着淡淡月光的石头。\n使用后可获得古代铂金币*80。"
cn_1429,"散发着强烈月光的石头。\n使用后可获得古代铂金币*500。"
cn_1430,"新鲜的肉排，在指定座标可进行烤制。"
