tw_0,雖然通常沒什麼威力，但有很低的機率來一次殺死對方。
tw_1345,"\f=限時物品\f>。\n地下試驗場專用傳送卷軸，使用可傳送回等候區。"
tw_1346,"合成敏捷手套的關鍵素材。\n\n敏捷手套：\n職業：全部職業\n製作地點：精靈園林·世界樹旁·瓦爾妲居所(33259,33134)內，黎明使者[裝備製作](32740,32760)"
tw_1347,"合成魔攻手套的關鍵素材。\n\n魔攻手套：\n職業：[王][騎][精][法]\n製作地點：精靈園林·世界樹旁·瓦爾妲居所(33259,33134)內，黎明使者[裝備製作](32740,32760)"
tw_1348,"合成力量手套的關鍵素材。\n\n力量手套：\n職業：全部職業\n製作地點：精靈園林·世界樹旁·瓦爾妲居所(33259,33134)內，黎明使者[裝備製作](32740,32760)"
tw_1349,"合成克魔手套的關鍵素材。"
tw_1350,"合成滅魔手套的關鍵素材。\n\n滅魔手套：\n職業：全部職業\n製作地點：精靈園林·妖魔村，貝舒可[裝備製作](33154,33424)"
tw_1351,"合成軟皮靴的關鍵素材。"
tw_1352,"合成短靴的關鍵素材。"
tw_1353,"合成長靴的關鍵素材。"
tw_1354,"合成克魔長靴的關鍵素材。"
tw_1355,"合成修煉者長靴的關鍵素材。\n\n修煉者長靴：\n職業：全部職業\n製作地點：精靈園林·世界樹旁·瓦爾妲居所(33259,33134)內，黎明使者[裝備製作](32740,32760)"
tw_1356,"合成守護者長靴的關鍵素材。\n\n守護者長靴：\n職業：全部職業\n製作地點：精靈園林·世界樹旁·瓦爾妲居所(33259,33134)內，黎明使者[裝備製作](32740,32760)"
tw_1357,"合成掠奪者長靴的關鍵素材。\n\n掠奪者長靴：\n職業：全部職業\n製作地點：精靈園林·世界樹旁·瓦爾妲居所(33259,33134)內，黎明使者[裝備製作](32740,32760)"
tw_1358,"合成監察者長靴的關鍵素材。\n\n監察者長靴：\n職業：[王][騎][精][法]\n製作地點：精靈園林·世界樹旁·瓦爾妲居所(33259,33134)內，黎明使者[裝備製作](32740,32760)"
tw_1359,"合成聽風者長靴的關鍵素材。\n\n聽風者長靴：\n職業：全部職業\n製作地點：精靈園林·世界樹旁·瓦爾妲居所(33259,33134)內，黎明使者[裝備製作](32740,32760)"
tw_1360,"合成滅魔長靴的關鍵素材。\n\n滅魔長靴：\n職業：全部職業\n製作地點：精靈園林·妖魔村，貝舒可[裝備製作](33154,33424)"
tw_1361,"\f=限時物品，有效時間：24小時。\f>\n勞華地區脛甲循環任務[尋找傘蘿]的任務物品之一。"
tw_1362,"合成小盾牌的關鍵素材。\n\n小盾牌：\n職業：全部職業\n製作地點：馬洛斯地區·馬洛斯城鎮，多麗絲[裝備製作](32811,33584)"
tw_1363,"合成大盾牌的關鍵素材。\n\n大盾牌：\n職業：[騎][王][精][暗]\n製作地點：馬洛斯地區·馬洛斯城鎮，多麗絲[裝備製作](32811,33584)"
tw_1364,"\f=限時物品，有效時間：24小時。\f>\n勞華地區脛甲循環任務[限時救援]的任務物品之一。"
tw_1365,"合成銀騎士之盾的關鍵素材。"
tw_1366,"合成紅騎士之盾的關鍵素材。"
tw_1367,"合成克魔之盾的關鍵素材。"
tw_1368,"合成精靈盾牌的關鍵素材。\n\n精靈盾牌：\n職業：[騎][精][法][暗]\n製作地點：精靈園林·世界樹旁·瓦爾妲居所(33259,33134)內，黎明使者[裝備製作](32740,32760)"
tw_1369,"合成莉雅項錬的關鍵素材。"
tw_1370,"合成卑彌兒項錬的關鍵素材。"
tw_1371,"合成守護項錬的關鍵素材。"
tw_1372,"合成比諾耳環的關鍵素材。"
tw_1373,"合成亞安耳環的關鍵素材。"
tw_1374,"合成索裡耳環的關鍵素材。"
tw_1375,"合成歐吉耳環的關鍵素材。"
tw_1376,"合成卡莎耳環的關鍵素材。"
tw_1377,"合成凱鳴耳環的關鍵素材。"
tw_1378,"合成繁星耳環的關鍵素材。"
tw_1379,"合成月華耳環的關鍵素材。"
tw_1380,"合成日冕耳環的關鍵素材。"
tw_1381,"合成能量戒指的關鍵素材。"
tw_1382,"合成克魔戒指的關鍵素材。"
tw_1383,"合成破舊的體力腰帶的關鍵素材。"
tw_1384,"合成破舊的能量腰帶的關鍵素材。"
tw_1385,"合成破舊的魔力腰帶的關鍵素材。"
tw_1386,"合成體力腰帶的關鍵素材。"
tw_1387,"合成能量腰帶的關鍵素材。"
tw_1388,"合成魔力腰帶的關鍵素材。"
tw_1389,"合成巨魔腰帶的關鍵素材。"
tw_1390,"合成卡薩戰矛的關鍵素材。"
tw_1391,"久經沙場的戰矛，據說已有生命，以鮮血為食。"
tw_1392,"發出藍色光芒的魔石"
tw_1393,"發出黑色光芒的魔石"
tw_1394,"發出綠色光芒的魔石"
tw_1395,"由一些細小的黃金組成的沙堆"
tw_1396,"毒物身上萃取能致命的毒液"
tw_1397,"哈爾皮埃身上漂亮的羽毛"
tw_1398,"死亡之花美麗的花苞"
tw_1399,"毒物身上萃取能致命的小型毒液"
tw_1400,"世界樹上獲取的樹枝"
tw_1401,"合成細劍的關鍵素材。\n\n細劍：\n職業：[王][騎][精][法]\n製作地點：沙棘木地區·騎特拉城鎮，泰森[裝備製作](32231,33041)"
tw_1402,"合成瑟魯基之劍的關鍵素材"
tw_1403,"巫師非常注重帽子，他不想敵人看清他的面容。裝備後提高魔傷。"
tw_1404,"鋒利無比，能擊破一切護甲的神兵利器。"
tw_1405,"合成碎甲之刃的關鍵素材。"
tw_1406,"合成瑪娜水晶球的關鍵素材。\n\n瑪娜水晶球：\n職業：[法]\n製作地點：精靈園林·世界樹旁·瓦爾妲居所(33259,33134)內，黎明使者[裝備製作](32740,32760)"
tw_1407,"合成紅眼魔盾的關鍵素材。\n\n紅眼魔盾：\n職業：全部職業\n製作地點：精靈園林·妖魔村，貝舒可[裝備製作](33154,33424)"
tw_1408,"熊的皮\n任務道具"
tw_1409,"布倫丹遊歷了伊丁各地，這雙鞋子幫了他不少忙。\n激活套裝後：變形布倫丹，防禦-4，體力恢復-7"
tw_1410,"死亡的氣息籠罩著馬洛斯，每一步的戰靴踏地聲，都讓人心生絕望。\n激活套裝後：變形死亡騎士，防禦-4，體力恢復-7"
tw_1411,"\f3魔傷+2\f>\n巫師非常注重帽子，他不想敵人看清他的面容。\n激活套裝後：魔力+50，土防+5"
tw_1412,"巴拉爾特製的手套，能吸收魔傷。\n每強化1等，魔防+2。\n每強化2等，防禦-1。"
tw_1413,"巨魔裝備的腰帶，掛頭骨在腰口，十分恐怖。\n\n1-5等每強化1等，體力+2\n\n6-10等每強化1等，體力+3"
tw_1414,"這麼寬大的腰帶，足以看出食肉魔的體型有多大。\n\n1-5等每強化1等，體力+2\n\n6-10等每強化1等，體力+3"
tw_1415,"合成食人魔腰帶的關鍵素材。"
tw_1416,"合成大馬士革刀的關鍵素材。\n\n大馬士革刀：\n職業：[王][騎][精][法]\n製作地點：馬洛斯地區·馬洛斯城鎮，多麗絲[裝備製作](32811,33584)"
tw_1417,"合成銀長劍的關鍵素材。"
tw_1418,"打開可獲得一階武器淨化藥水*2，一階防具淨化藥水*4。"
tw_1419,"刀鋒手上的刀。 \n任務道具"
tw_1420,"恐爪怪手上的爪。 \n任務道具"
tw_1421,"暗魂騎士斧頭兵手上的斧頭。 \n任務道具"
tw_1422,"暗魂騎士弓箭手手上的弓。 \n任務道具"
tw_1423,"暗魂騎士手上的劍。 \n任務道具"
tw_1424,"暗魂藥師手上的法杖。 \n任務道具"
tw_1425,"被邪惡之力所包圍的指環。\n1-5等每強化1等，抵抗眩暈+1；\n6-10等每強化1等，抵抗眩暈+3。"
tw_1426,"被邪惡魔力所包圍的指環。\n1-5等每強化1等，抵抗眩暈+1；\n6-10等每強化1等，抵抗眩暈+3。"
tw_1427,"暗魂騎士的本體。"
tw_1428,"散發著淡淡月光的石頭。\n使用後可獲得古代鉑金幣*80。"
tw_1429,"散發著強烈月光的石頭。\n使用後可獲得古代鉑金幣*500。"
tw_1430,"新鮮的肉排，在指定座標可進行烤製。"
tw_1431,"烤得生熟剛好的肉排，味道好極了。"
tw_1432,"未烤熟的肉排，切開仍伴有血絲。"
tw_1433,"烤得太久的肉排，已焦得難以下噎。\n\f=有機率中毒：每5秒扣除50血，持續30秒\f>。"
tw_1434,"月光女神留下的眼淚。使用後獲得高級的二段所有速度加成效果。"
tw_1435,"合成魂戒的關鍵素材。"
tw_1436,"印著骷髏頭的精美印花。"
tw_1437,"裝滿各種神奇道具的大禮包，打開可隨機獲得+8武器兌換券/+9武器兌換券/受祝福強化捲軸/各種製作裝備的材料。"
tw_1438,"價值連城的武器兌換券，可向活動使者兌換強化等級為+9的武器。"
tw_1439,"稀有的武器兌換券，可向活動使者兌換強化等級為+8的武器。"
tw_1440,"高级变形卷轴的碎片。\n使用後可獲得10鉑金幣。"
tw_1441,"力·英雄項錬Lv.5：象徵著已成為一名出色的英雄，是力量型英雄的憑證。\n在活動期間，可到馬洛斯城鎮的\fW活動聯絡者\f>升等為英雄項錬Lv.6。"
tw_1442,"魔·英雄項錬Lv.5：象徵著已成為一名出色的英雄，是魔力型英雄的憑證。\n在活動期間，可到馬洛斯城鎮的\fW活動聯絡者\f>升等為英雄項錬Lv.6。"
tw_1443,"敏·英雄項錬Lv.5：象徵著已成為一名出色的英雄，是敏捷型英雄的憑證。\n在活動期間，可到馬洛斯城鎮的\fW活動聯絡者\f>升等為英雄項錬Lv.6。"
tw_1444,"力·英雄項錬Lv.6：象徵著已成為一名出色的英雄，是力量型英雄的憑證。\n可到馬洛斯城鎮的\fW歌爾\f>升等為力·英雄項錬Lv.7。"
tw_1445,"魔·英雄項錬Lv.6：象徵著已成為一名出色的英雄，是魔力型英雄的憑證。\n可到馬洛斯城鎮的\fW歌爾\f>升等為魔·英雄項錬Lv.7。"
tw_1446,"敏·英雄項錬Lv.6：象徵著已成為一名出色的英雄，是敏捷型英雄的憑證。\n可到馬洛斯城鎮的\fW歌爾\f>升等為敏·英雄項錬Lv.7。"
tw_1447,"特殊的高級變形卷軸，死亡騎士已晉升為死亡騎士·傲骨模型。\n\f=物品失效時間：2019-01-03 10:00"
tw_1448,"讓大地長出荊棘，纏繞敵人，減慢敵人的速度。 \n分類：Ⅲ階魔法（職業）\n效果：有一定機率移除目標所有加速效果，並且持續時間內不可使用二段加速。成功率與雙方等級差有關。 \n學習要求：\n精靈：30等"
tw_1449,"藉助風的力量，使自己獲得加速。 \n分類：Ⅴ階魔法（職業）\n效果：持續4秒，持續時間內降低45%魔防並提高1.5倍命中抵抗，若自身有二段加速效果，則提高2倍命中抵抗。命中抵抗的增益效果僅對PVP有效。 \n學習要求：\n精靈：50等"
tw_1450,"使用後可恢復較多體力"
tw_1451,"抵達指定位置點燃後，有概率獲得神印卷軸"
tw_1452,"已經破損的獸人之弓"
tw_1453,"能夠看穿幻象的水晶，使用後可進入「迷幻山嶽」。"
tw_1454,"裝有禮物的福袋，打開可隨機獲得一種道具。"
tw_1455,"已購買過「新春福袋」的憑證。"
tw_1456,"裝有武器強化卷軸的禮包，打開可獲得10個武器強化卷軸，并額外隨機獲得一個卷軸，最高可獲武器強化卷軸（祝福）。"
tw_1457,"裝有防具強化卷軸的禮包，打開可獲得10個防具強化卷軸，并額外隨機獲得一個卷軸，最高可獲防具強化卷軸（祝福）。"
tw_1458,"擁有神奇的魔法，使用後，可在一定時間內獲得打怪經驗1.5倍。死亡時清空該狀態"
tw_1459,"擁有神奇的魔法，使用後，可在一定時間內獲得打怪經驗2倍。死亡時清空該狀態"
tw_1460,"一枚能為人帶來好運的神奇金幣。"
tw_1461,"鋒利而輕盈的長劍，非常適合精靈使用。"
tw_1462,"合成力量法杖的關鍵素材。"
tw_1463,"合成普索長劍的關鍵素材。"
tw_1464,"吸收了德雷克山獄怪物們狂暴力量的水晶，用於修復或製作武器。"
tw_1465,"產於德雷克山獄的一種稀有石頭，用於修復或製作武器。"
tw_1466,"持續時間內，每3秒恢復不少於2點的魔力，人物精神點數會影響每次的恢復量。在此狀態下，再次使用，則替換該狀態。"
tw_1467,"法師和精靈專用，使用後獲得高級的二段所有速度加成效果。"
tw_1468,"使用後，解除被變形的狀態。"
tw_1469,"已購買過「武器強化卷軸禮包」的憑證。"
tw_1470,"已購買過「防具強化卷軸禮包」的憑證。"
tw_1471,"能夠看穿一切假象的水晶，進入「迷幻山嶽」頂端「迷幻山頂」必須的道具。"
tw_1472,"最高只可強化至+8，繼續強化不會提升強化等級。\f>\n狂熱工匠塔斯瑞所製作的衣服模板，未經任何加工。"
tw_1473,"狂熱工匠塔斯瑞所製作的衣服，增強力量屬性。"
tw_1474,"狂熱工匠塔斯瑞所製作的衣服，增強敏捷屬性。"
tw_1475,"狂熱工匠塔斯瑞所製作的衣服，增強體力屬性。"
tw_1476,"狂熱工匠塔斯瑞所製作的衣服，增強智力屬性。"
tw_1477,"只可用於裝備強化等級繼承\n最高只可強化至+8，繼續強化不會提升強化等級。\f>\n狂熱工匠塔斯瑞所製作的武器，似矛卻非矛，無人曉用。"
tw_1478,"只可用於強化塔斯瑞之擎的強化卷軸。"
tw_1479,"只可用於強化塔斯瑞之衣的強化卷軸。"
tw_1480,"用於兌換「驅幻之眼」的票券。\n需玩家等級達到50等。\n可到馬洛斯、沙棘木村和騎特拉城鎮找\fW塔斯瑞及其學徒\f>進行兌換。"
tw_1481,"蘊含過去記憶的泉水，可重置49等後已分配的某一種類屬性點。\n最低使用等級：50\n可找世界樹下的\f3米婭[重置屬性點]\f>了解重置屬性相關資訊。"
tw_1482,"使用後，解除被變形的狀態。"
tw_1483,"已購買過元宵藏寶圖的憑證。"
tw_1484,"一份標記有寶物坐標的地圖，只在元宵節期間可供購買。"
tw_1485,"裝有「神秘谷傳送卷軸」的盒子。\n使用後可獲得「神秘谷傳送卷軸」。"
tw_1486,"畫有傳送魔法印記的卷軸，使用後可進入「神秘谷」。"
tw_1487,"最高只可強化至+6，繼續強化不會提升強化等級。\f>\n通過使用專屬[塔斯瑞之衣強化卷軸]進行強化，強化等級達到＋6，可通過馬洛斯城鎮的多麗絲[裝備製作]加工為可穿戴的[特殊·塔斯瑞之衣]。"
tw_1488,"以橙羹一起烹煮的元宵。\n使用後可獲得10000經驗。\n\f=到期日：2019-03-07 10:00:00"
tw_1489,"以核桃酪一起烹煮的元宵。\n使用後可獲得50000經驗。\n\f=到期日：2019-03-07 10:00:00"
tw_1490,"以酒釀一起烹煮的元宵。\n使用後可獲得100000經驗。\n\f=到期日：2019-03-07 10:00:00"
tw_1491,"美味可口的精靈餅乾。精靈食用後獲得二等加速效果。"
tw_1492,"使用即可傳送至祈願峽谷，有效時間30分鐘。\n身上有該物品時，無法使用「祈願盒子」。"
tw_1493,"蘊含魔力的精肉，祭祀祈禱的必備品之一。\n 2019年3月5日11:00前集齊所需祭品可找馬洛斯的佩絲(32827,33547)兌換和平獎券參與抽獎。\n\f=到期日：2019-03-07 10:00:00"
tw_1494,"吸收了妖魔靈氣的雞蛋，祭祀祈禱的必備品之一。\n 2019年3月5日11:00前集齊所需祭品可找馬洛斯的佩絲(32827,33547)兌換和平獎券參與抽獎。\n\f=到期日：2019-03-07 10:00:00"
tw_1495,"新鮮的優質蘋果，祭祀祈禱的必備品之一。\n 2019年3月5日11:00前集齊所需祭品可找馬洛斯的佩絲(32827,33547)兌換和平獎券參與抽獎。\n\f=到期日：2019-03-07 10:00:00"
tw_1496,"新鮮的優質玉米，祭祀祈禱的必備品之一。\n 2019年3月5日11:00前集齊所需祭品可找馬洛斯的佩絲(32827,33547)兌換和平獎券參與抽獎。\n\f=到期日：2019-03-07 10:00:00"
tw_1497,"新鮮的優質南瓜，祭祀祈禱的必備品之一。\n 2019年3月5日11:00前集齊所需祭品可找馬洛斯的佩絲(32827,33547)兌換和平獎券參與抽獎。\n\f=到期日：2019-03-07 10:00:00"
tw_1498,"和平慶典的抽獎券。\n2019年3月5日11:00前可以在馬洛斯的佩絲(32827,33547)處參與抽獎。\n\f=到期日：2019-03-07 10:00:00"
tw_1499,"存放「祈願峽谷傳送卷軸」的盒子，有效期24小時，請在限期內使用，過期消失。\n\f=溫馨提示：身上攜帶有「祈願峽谷傳送卷軸」時無法使用「祈願盒子」。"
tw_1500,"四階淨化藥水禮盒，打開可隨機獲得四階武器/防具/飾品淨化藥水。"
tw_1501,"高級材料禮盒，打開可隨機獲得世界樹的樹枝/噬能水晶/噬心石/短劍的劍身。"
tw_1502,"使用可獲得1個「塔斯瑞之擎」和8個「塔斯瑞之擎強化卷軸」。"
tw_1503,"特製的魔力法杖，裝備後能夠吸取對方的魔力。\n強化不會增加魔傷。"
tw_1504,"內斯特的惡作劇，他讓法杖變了用途。\n強化不會增加魔傷。"
tw_1505,"風晶石，源自月光女神的祝福，蘊含著輕靈的風系力量！ \n分類：Ⅲ階魔法（職業）\n效果：在持續時間內，獲得低級的二段所有速度加成效果。 \n學習要求：\n精靈：30等"
tw_1506,"珍稀的魔法手札，記載著遠古魔法師對法則的感悟與心得。 \n分類：Ⅰ階魔法（職業）\n效果：使用後獲得低級的二段所有速度加成效果。 \n學習要求：\n法師：28等"
tw_1507,"能激活武器元素力量的神奇結晶。\n天啟者進行武器元素強化的必備素材。"
tw_1508,"由天啟者精製過的天啟源晶，可向元素強化武器補充500點天啟魔能。"
tw_1509,"從火元素強化武器中提取出的元素結晶，蘊含炙熱的火元素之力。"
tw_1510,"\f=限時物品\f>\n狩獵山脈魔物們掉落的徽章，可用於在馬洛斯\fW獵魔人\f>處兌換屈原長靴禮盒、魔法書及火/水/土/風之元素。"
tw_1511,"風晶石，蘊含著輕靈的風系力量！ \n分類：Ⅲ階魔法（職業）\n效果：在持續時間內，獲得低級的二段所有速度加成效果。 \n學習要求：\n精靈：30等"
tw_1512,"稀有的武器兌換券，可於\fW8月22日10:00前\f>找馬洛斯城鎮里的\fW火神伏爾坎的僕從\f>兌換指定的強化等級為\fW+8\f>的武器。"
tw_1513,"英雄的憑證。 \n可到馬洛斯城鎮的\fW歌爾\f>升等為英雄項錬Lv.2。"
tw_1514,"從水元素強化武器中提取出的元素結晶，蘊含深邃的水元素之力。"
tw_1515,"英雄的憑證。 \n可到馬洛斯城鎮的\fW歌爾\f>升等為英雄項錬Lv.3。"
tw_1516,"英雄的憑證。 \n可到馬洛斯城鎮的\fW歌爾\f>升等為英雄項錬Lv.4。"
tw_1517,"力·英雄項錬Lv.4：象徵著已成為一名出色的英雄，是力量型英雄的憑證。\n可到馬洛斯城鎮的\fW歌爾\f>升等為英雄項錬Lv.5。"
tw_1518,"魔·英雄項錬Lv.4：象徵著已成為一名出色的英雄，是魔力型英雄的憑證。\n可到馬洛斯城鎮的\fW歌爾\f>升等為英雄項錬Lv.5。"
tw_1519,"從風元素強化武器中提取出的元素結晶，蘊含疾速的風元素之力。"
tw_1520,"敏·英雄項錬Lv.4：象徵著已成為一名出色的英雄，是敏捷型英雄的憑證。\n可到馬洛斯城鎮的\fW歌爾\f>升等為英雄項錬Lv.5。"
tw_1521,"力·英雄項錬Lv.5：象徵著已成為一名出色的英雄，是力量型英雄的憑證。\n可到馬洛斯城鎮的\fW歌爾\f>升等為英雄項錬Lv.6。"
tw_1522,"魔·英雄項錬Lv.5：象徵著已成為一名出色的英雄，是魔力型英雄的憑證。\n可到馬洛斯城鎮的\fW歌爾\f>升等為英雄項錬Lv.6。"
tw_1523,"敏·英雄項錬Lv.5：象徵著已成為一名出色的英雄，是敏捷型英雄的憑證。\n可到馬洛斯城鎮的\fW歌爾\f>升等為英雄項錬Lv.6。"
tw_1524,"從土元素強化武器中提取出的元素結晶，蘊含堅實的土元素之力。"
tw_1525,"力·英雄項錬Lv.6：象徵著已成為一名出色的英雄，是力量型英雄的憑證。\n在活動期間，可到馬洛斯城鎮的\fW歌爾\f>升等為力·英雄項錬Lv.7。"
tw_1526,"魔·英雄項錬Lv.6：象徵著已成為一名出色的英雄，是魔力型英雄的憑證。\n在活動期間，可到馬洛斯城鎮的\fW歌爾\f>升等為魔·英雄項錬Lv.7。"
tw_1527,"敏·英雄項錬Lv.6：象徵著已成為一名出色的英雄，是敏捷型英雄的憑證。\n在活動期間，可到馬洛斯城鎮的\fW歌爾\f>升等為敏·英雄項錬Lv.7。"
tw_1528,"\f=限時物品，有效期7天。\f>\n等級≥40的冒險者可憑券於\fW隱藏之谷\f>活動開啟期間前往馬洛斯的\fW隱藏之谷·諾\f>處消耗該券進入\fW隱藏之谷·諾\f>。"
tw_1529,"只可用於強化閃亮的新手武器的強化卷軸。"
tw_1530,"只可用於強化閃亮的新手防具的強化卷軸。"
tw_1531,"海底城堡二層的沙華魚人身上的魔晶。"
tw_1532,"海底城堡二層的魔鬼魚身上的魔晶。"
tw_1533,"鏡子森林特有的產物，擊殺鏡子森林裡的怪物即有幾率獲得。"
tw_1534,"記錄著影像中的地點的地圖，看看能找到什麼。"
tw_1535,"一個盒子，可是打不開，找珍妮特看看吧。"
tw_1536,"盛滿材料的包裹，英蒂安讓你幫忙送去給蓋婭。"
tw_1537,"鏡子森林的刺紅的昂哥蜘蛛的肉。"
tw_1538,"鏡子森林的蛇女的肉。"
tw_1539,"鏡子森林的刺紅的昂哥蜘蛛的絲。"
tw_1540,"鏡子森林的巨眼怪的淚腺。"
tw_1541,"費思用刺紅的昂哥蜘蛛絲和巨眼怪的眼淚煉成的蜘蛛絲漿。"
tw_1542,"鏡子森林裡巨眼怪身上的記憶晶體。"
tw_1543,"海底城堡一層的寇濤魚人的魚鰭。"
tw_1544,"海底城堡三層的梭螺魚人的骨頭。"
tw_1545,"海底深淵的海蛞蝓的肉。"
tw_1546,"鏡子森林的蛇女的皮。"
tw_1547,"鏡子森林的變形怪身上的一種晶體。"
tw_1548,"鏡子森林的蛇女的膽，製作凱里的解毒藥需用到。"
tw_1549,"蛇膽裡的汁液。"
tw_1550,"一塊神奇的石頭，在指定坐標處使用看看吧。"
tw_1551,"至忠至誠。"
tw_1552,"尤瑪的為凱里和傷員們配置的藥。"
tw_1553,"哈伯特讓你幫忙送去給水淩林的加爾文的試煉函。"
tw_1554,"波絲的聚魔石，珍妮特需要借用。"
tw_1555,"娜恩贈送給費思的盒子，據說有機關，打開看看吧。"
tw_1556,"一顆看起來沒什麼用處的石頭。"
tw_1557,"費思提煉的巨眼怪的眼淚。"
tw_1558,"海底深淵的龍龜的殼，據說防禦力極好。"
tw_1559,"憑此推薦信，方可參與海底深淵試煉。拿去給多威爾吧。"
tw_1560,"海底深淵試煉的任務物品，擊殺擊殺伊娃水母或庫普魯水怪可獲得。"
tw_1561,"海底深淵試煉的任務物品，擊殺底棲魔鱼或海蛞蝓可獲得。"
tw_1562,"海底深淵試煉的任務物品，擊殺美人魚可獲得。"
tw_1563,"海底深淵試煉的任務物品，擊殺伊西鰩魚、莫客魚怪、底棲魔魚可獲得。"
tw_1564,"海底深淵試煉的任務物品，擊殺海底霸主「海王」可獲得。"
tw_1565,"以水淩林之名，予守護騎士之榮譽。"
tw_1566,"鏡子森林的蛇女的尾巴。"
tw_1567,"鏡子森林的變形怪身上的一種晶體。"
tw_1568,"清楚水母衣毒性的藥劑。"
tw_1569,"由海底城堡的伊娃水母被擊殺後所化。"
tw_1570,"飲用後可在海底呼吸的神奇藥水。\n使用後不會因缺氧而減少體力和魔力。"
tw_1571,"費思給凱里的信，送去給凱里吧。"
tw_1572,"裝滿武器的包裹。"
tw_1573,"傳說中的風龍埃耶卡特爾，在與水龍利維亞坦戰鬥時流下的鮮血。可以使武器對海底怪物造成更大傷害。\n要求武器最低使用等級50等及以上。"
tw_1574,"含有豐富營養的果實，對眼睛很有好處。\n使用後解除致盲狀態。"
tw_1575,"[精靈園林的葡萄！沙棘木城堡窖藏！]貼著如此標籤的葡萄酒。\n使用後身體發燙從而解除冰凍狀態。"
tw_1576,"珍稀的魔法手札，遠古魔法師的畢生之著，記載著遠古魔法師對法則的感悟與心得。 \n分類：Ⅰ階魔法（職業）\n效果：加強自己的近戰物攻7點，但會減弱10點防禦且體力不會自然恢復。 \n學習要求：\n法師：28等"
tw_1577,"珍稀的魔法手札，遠古魔法師的畢生之著，記載著遠古魔法師對法則的感悟與心得。 \n分類：Ⅰ階魔法（職業）\n效果：使敵人疾病纏身，有一定機率減弱目標15點防禦及降低15點魔防，成功率與自身智力和目標魔法防禦有關。 \n學習要求：\n法師：28等"
tw_1578,"珍貴的魔法書籍，蘊含著強大的神魔之力，記錄著高級魔法技能。 \n分類：Ⅵ階魔法（普通）\n效果：釋放詛咒，有一定機率降低目標10點近戰物攻和5點魔傷，成功率與自身智力和目標魔法防禦有關。 \n學習要求：\n法師：24等\n精靈：48等"
tw_1579,"\fW隱藏之谷·Ⅰ\f>的通行證，有效時間內可多次使用進入山谷練功享受經驗加成。\n\fW可進入地圖：隱藏之谷·Ⅰ。\f>"
tw_1580,"\fW隱藏之谷·Ⅱ\f>的通行證，有效時間內可多次使用進入山谷練功享受經驗加成。\n\fW可進入地圖：隱藏之谷·Ⅱ。\f>"
tw_1581,"\fW隱藏之谷·誓\f>的通行證，有效時間內可多次使用進入山谷練功享受經驗加成。\n\fW使用者等級不同將被傳送至不同的隱藏之谷：\nLv40-49：隱藏之谷·誓Ⅰ。\nLv50-59：隱藏之谷·誓Ⅱ。\nLv60-69：隱藏之谷·誓Ⅲ。\nLv70以上：隱藏之谷·誓Ⅳ。\f>"
tw_1582,"使用後可獲得30分鐘時效的\fW隱藏之谷通行證·Ⅰ\f>，用於進入\fW隱藏之谷·Ⅰ\f>，身上已有\fW隱藏之谷通行證·Ⅰ\f>時不可使用此盒子。"
tw_1583,"使用後可獲得30分鐘時效的\fW隱藏之谷通行證·Ⅱ\f>，可用於進入\fW隱藏之谷·Ⅱ\f>，身上已有\fW隱藏之谷通行證·Ⅱ\f>時不可使用此盒子。"
tw_1584,"使用後可獲得30分鐘時效的\fW隱藏之谷通行證·誓\f>，可用於進入\fW隱藏之谷·誓Ⅰ、誓Ⅱ、誓Ⅲ或誓Ⅳ\f>，身上已有\fW隱藏之谷通行證·誓\f>時不可使用此盒子。"
tw_1585,"在\fW隱藏之谷·諾\f>中歷練獲得的印記，可在馬洛斯的\fW阿里羅\f>處參與印記嘉獎。\n祝君好運！"
tw_1586,"在\fW隱藏之谷·誓\f>中歷練獲得的印記，可在馬洛斯的\fW阿里羅\f>處參與印記嘉獎。\n祝君好運！"
tw_1587,"\f=限時物品，有效期：24小時\f>。\n僅限週五至週日\fW隱藏之谷\f>活動開啟期間用於在馬洛斯的\fW米爾斯\f>處兌換\fW隱藏之谷的古老石盒·Ⅰ、Ⅱ、Ⅲ\f>。"
tw_1588,"\fW隱藏之谷\f>活動積分獎品。\n使用後獲得900秒無畏祝福狀態：\n\f=持續時間內防禦-2，受到玩家攻擊時，物理/魔傷減免2\f>。\n使用次數消耗完後物品消失。"
tw_1589,"\fW隱藏之谷\f>活動積分獎品。\n使用後獲得900秒勇氣祝福狀態：\n\f=持續時間內防禦-2\f>。\n使用次數消耗完後物品消失。"
tw_1590,"使用後，隨機提高5-10點體力。"
tw_1591,"使用後，隨機提高3-5點魔力。"
tw_1592,"\fW隱藏之谷·Ⅲ\f>的通行證，有效時間內可多次使用進入山谷練功享受經驗加成。\n\fW可進入地圖：隱藏之谷·Ⅲ。\f>"
tw_1593,"使用後可獲得30分鐘時效的\fW隱藏之谷通行證·Ⅲ\f>，用於進入\fW隱藏之谷·Ⅲ\f>，身上已有\fW隱藏之谷通行證·Ⅲ\f>時不可使用此盒子。"
tw_1594,"可開出普通、祝福、詛咒的武器或防具強化卷軸。"
tw_1595,"遠古時代的弓弩"
tw_1596,"遠古時代的雙手劍"
tw_1597,"遠古時代的單手劍"
tw_1598,"遠古時代的匕首"
tw_1599,"遠古時代的長矛"
tw_1600,"遠古時代的戰斧"
