en_0,"Client: %s Resource: %u"
en_1568,"Explanation of Recommendation 1\nAdvantages: High magic power\nDisadvantages: Low defense and constitution\n\nTraining Direction\n1.Magic Damage\nSelected weapon with high spell power and armour which increase INT, Spell Power or Damage Reduction. The attribute points after Lv 50 should be allocated to INT only, and this attribute direction requires high consume. Using Magic Recovery Potion constantly or the spell Mana Drain is the core point. \n2.Viability\nSelected weapon with mana drain and armour which increase INT, Spell Power or Damage Reduction. The attribute points after Lv 50 should be allocated to INT and WIS to enhance healing and mana recovery. Ensuring to reduce the consume."
en_1569,"Explanation of Recommendation 2\nAdvantages: High magic power\nDisadvantages: Low defense and constitution\n\nTraining Direction\n1.Magic and physical damage\nSelected weapon with manadrain and high physical damage and armor which increase INT , Spell Power or Damage Reduction. The attribute points after Lv 50 should be allocated to INT and strength. The character should have 18 strength point when it create. \n2.Magic and physical damage switching\nSelected weapon with mana drain or magic damage and armor which increase INT , Spell Power or Damage Reduction. The attribute points after Lv 50 should be allocated to INT and WIS to enhance healing and Spell Power. The character should have 18 strength point when it create."
en_1570,"Explanation of Recommendation 1 \nAdvantages: High physical damage and critical rate, more clan members\nDisadvantages: Moderate Hp and defense\n\nTraining direction\nCritical Damage\nSelected weapon with high physical damage and Armor which reduce damage, provide more defence or strength attribute equips. The attribute points after Lv 50 should be allocated to charm and strength, to ensure that charm points reach 36 (maximum crit chance)"
en_1571,"Explanation of Recommendation 2 \nAdvantages: High physical damage and viability\nDisadvantages: Moderate Hp and defense\n\nTraining Direction\nDamage with viability\nSelected weapon with high physical damage and Armor which reduce damage, provide more defence or strength attribute equips. The attribute points after Lv 50 should be allocated to wisdom and strength, to ensure that it can fight wildly for long."
en_1572,"Fix"
en_1573,"Magic Note"
en_1574,"Normal Magic Note"
en_1575,"Mage Magic Note"
en_1576,"Knight Magic Note"
en_1577,"Royal Magic Note"
en_1578,"Elf Magic Note"
en_1579,"Amulet of Heroism LV.2-LV.3"
en_1580,"Amulet of Heroism LV.4"
en_1581,"Amulet of Heroism LV.5"
en_1582,"Amulet of Heroism LV.6"
en_1583,"\fKEnchant"
en_1584,"\fKInfo"
en_1585,"%s---- Normal Enchant+%d ----\n"
en_1586,"%s---- Ench. + %d ----\n"
en_1587,"验证订阅"
en_1588,"实名认证"
en_1589,"真实姓名:"
en_1590,"身份证号码:"
en_1591,"接受实名认证及防沉迷系统服务协议"
en_1592,"根据国家防沉迷法规要求，请完善游戏防沉迷信息，以保障您顺畅享受游戏"
en_1593,"Ultimate Scroll of Polymorph"
en_1594,"选择微信登录方式, 绑定帐号后会自动重启客户端"
en_1595,"你的设备还没有安装微信客户端, 你可以下载安装微信或者使用手机微信扫码登录, 绑定帐号后会自动重启客户端"
en_1596,"你的设备还没有安装微信客户端, 你可以下载安装微信或者使用手机微信扫码登录"
en_1597,"微信登录"
en_1598,"微信扫码登录"
en_1599,"下载微信"
en_1600,"Click to move"
en_1601,"Click to move"
en_1602,"微信扫码支付"
en_1603,"%sMove Spd: %+d%%"
en_1604,"%sAtk Spd: %+d%%"
en_1605,"%sCast Spd: %+d%%"
en_1606,"%sSTR: %+d"
en_1607,"%sCON: %+d"
en_1608,"%sDEX: %+d"
en_1609,"%sINT: %+d"
en_1610,"%s意志: %+d"
en_1611,"%sCHA: %+d"
en_1612,"%sAC: %+d"
en_1613,"%sRanged Ev.: %+d%%"
en_1614,"%sSpell Power: %+d"
en_1615,"%sMagic Resist: %+d"
en_1616,"%sFire Resist: %+d"
en_1617,"%sEarth Resist: %+d"
en_1618,"%sWater Resist: %+d"
en_1619,"%sWind Resist: %+d"
en_1620,"%sHP Limit: %+d"
en_1621,"%sMP Limit: %+d"
en_1622,"%sMelee Damage: %+d"
en_1623,"%sRanged Damage: %+d"
en_1624,"%sMelee Hit: %+d"
en_1625,"%sRanged Hit: %+d"
en_1626,"%sHoly Damage: %+d"
en_1627,"%sAvoid: %+d"
en_1628,"%sHP Regen: %+d"
en_1629,"%sMagic Damage: %+d"
en_1630,"%sEx Magic Dmg: %+d"
en_1631,"    Poly"
en_1632,"Enhanced"
en_1633,"Holy Enchant"
en_1634,"Premium Exclusive"
en_1635,"Lv %d"
en_1636,"Locked"
en_1637,"Polymorph: %d second"
en_1638,"List"
en_1639,"Unlocked"
en_1640,"Extract Result"
en_1641,"Extract"
en_1642,"Normal"
en_1643,"Menu"
en_1644,"Monster"
en_1645,"Attribute"
en_1646,"Monster Polymorph"
en_1647,"Relieve"
en_1648,"Dice"
en_1649,"Basic Rules\n1. Players use designated items to redeem dice at the NPC. \n2. Players dice on the board, consuming one dice at a time. \n3. After throwing the dice, the cursor will follow the number of dice and go as the corresponding number of steps. \n4. The cursor stops on the grid, which have items or events, you can get items or trigger events. \n5. If you stop at the grid that has an item and you alreadr obtain it, you will not get the item again. \n6. The grid that has event will trigger the event again when stepped on it again. \n7. There is a grand prize at the end of the board. Players can get the grand prize at the end and enter the next board. \n8. After the dice are rolled, the player cursor must stop right at the end grid with no more steps to get the grand prize and enter the next board map. Otherwise, the cursor will go back according to the extra steps. \n9. After the last map is completed, the exploration can be repeated, but the final grand prize at the endpoint can only be obtained once. When the exploration is repeated, the final grand prize will be replaced with other rewards. \n\nEvent type\n1. Forward X grid: After the event is triggered, move forward X grid (the event determines the specific number of forwarding grids). \n2. Backward X grid: After triggering the event, return to the X grid backwards (the event determines the specific number of backspaces)."
en_1650,"Forward %d Grid"
en_1651,"Backward %d Grid"
en_1652,"break forward %d grid"
en_1653,"Next time can dice two times"
en_1654,"Obtain %s x %d"
en_1655,"%sRanged Ev.: %+d\n"
en_1656,"Need Material"
en_1657,"\f3Premium Exclusive Polymorph"
en_1658,"\f3Can't use before Lv %u."
en_1659,"\f3Lack of material"
en_1660,"%sDamage to %s: +%u~%u\n"
en_1661,"View Polymorph Material"
en_1662,"View Unlock Material"
en_1663,"Material"
en_1664,"%sRanged Dmg: %+d\n"
en_1665,"%sRanged Hit: %+d\n"
en_1666,"Event"
en_1667,"View Unlock Condition"
en_1668,"Activate [Premium Member] to unlock"
en_1669,"%sMP Regen: %+d"
en_1670,"%sDmg Reduce: %+d"
en_1671,"Please select an account to bind, the client app will auto restart after you bind the account."
en_1672,"Please select an account to bind, the client app will auto restart after you bind the account."
en_1673,"Event [Unactive]"
en_1674,"Please select the material to decompose"
en_1675,"确认身份证号码不一致，请重新确认输入"
en_1676,"Click to polymorph at once"
en_1677,"\fPConsume Lawful Point: %u"
en_1678,"Suppliers"
en_1679,"Types of accelerate"
en_1680,"Etc Item"
en_1681,"Dark Mithril"
en_1682,"Waiting..."
en_1683,"New update is available. Do you want to download right now？\nData Size: %.2fMB\n[Download via WiFi is recommended]"
en_1684,"It is processed under verification..."
en_1685,"Error, please purchase again"
en_1686,"Wrong Operation, please purchase again"
en_1687,"Order Canceled"
en_1688,"Unknown payment method, please choose a acceptable one"
en_1689,"Fail to pay, please confirm authorize to pay"
en_1690,"The item is expired, please choose another item"
en_1691,"Fail to connect, please authorize to connect"
en_1692,"Fail to connect with server"
en_1693,"Authorization is annuled, please authorize again"
en_1694,"Unconfirmed Apple Music privacy policy"
en_1695,"It is applying for access authority, please timely processing"
en_1696,"No item found, please choose item again"
en_1697,"Item Discount Evant is already expired"
en_1698,"Fail to pay, please purchase again"
en_1699,"Price is different now, please purchase again"
en_1700,"Huawei"
en_1701,"Apple"
en_1702,"Hero Medal"
en_1703,"Elixir of Attributes"
en_1704,"Hero Potion"
en_1705,"\f3please drag polymorph to hotkey"
en_1706,"View Attribute"
en_1707,"Upgrade"
en_1708,"x %u"
en_1709,"There is no feedback from Apple Server, please restart Teon again."
en_1710,"Composite"
en_1711,"Fail to login(%d), please make sure the relevant components already installed."
en_1712,"NULL"
en_1713,"Rune System"
en_1714,"Punch Holes"
en_1715,"Embed Runes"
en_1716,"Remove Runes"
en_1717,"Runes Enchant"
en_1718,"Quenching"
en_1719,"Function Introduction"
en_1720,"Punch Holes Introduction(Pending Update)"
en_1721,"Embed Introduction(Pending Update)"
en_1722,"Remove Introduction(Pending Update)"
en_1723,"Runes Enchant Introduction(Pending Update)"
en_1724,"Quenching Introduction(Pending Update)"
en_1725,"%s--------- Rune ---------\n"
en_1726,"Hole%dUnpunched\n"
en_1727,"Not inlaid\n"
en_1728,"%s%+d%s\n"
en_1729,"Punch"
en_1730,"Precision Forging"
en_1731,"Inlay"
en_1732,"Rune"
en_1733,"Weapon Rune"
en_1734,"Lv1"
en_1735,"Lv2"
en_1736,"Lv3"
en_1737,"Lv4"
en_1738,"Lv5"
en_1739,"Armor Rune"
en_1740,"Sealed Rune"
en_1741,"Tool"
en_1742,"Or"
en_1743,"Rune General Rules(Pending Update)"
en_1744,"The same rune"
en_1745,"Level 5"
en_1746,"Character and account mismatch, it cannot be deleted."
en_1747,"Character cannot be deleted within the validity period of the transfer."
en_1748,"Serial number: %s"
en_1749,"Expiration date: %s"
en_1750,"It can not be reused or deleted until the serial number expires."
en_1751,"Copy character serial number"
en_1752,"Disclaimer for the character transfer of ""Teon""\n\nBefore you start the ""character transfer service"" application, we solemnly remind you to read all these terms of the service carefully. \n\nWe provide services based on the premise that you have known and agreed to accept all the terms and conditions. When you confirm the ""Generate character serial number "" button, it means that you have known and agreed to accept all the terms and conditions, you can not raise any defence or disagree that you do not understand with the following terms. \n\n1, After the character transfer serial number is generated, you can not log in in 3 days. \n2. You have to process the items in the character backpack before the character transfer application, and it could not be recovered after transfer. \n3. This function is only used for the transfer of characters between personal accounts. If it is used for offline transactions, there may be risks and losses that need to be borne by yourself. The official is out of response. \n4. Character transfer will charge 2 ""sealed oath"" as a service fee, and please prepare in advance. \n5. The rocharacterle should meet the transfer conditions; otherwise, it cannot be transferred."
en_1753,"Disclaimer for the character transfer of ""Teon""\n\nBefore you activate the ""character transfer service"" application, we solemnly remind you to read all these terms of the service carefully. \n\nWe provide services based on the premise that you have known and agreed to accept all the terms and conditions. When you confirm the ""Activate"" button, it means that you have known and agreed to accept all the terms and conditions, you can not raise any defence or disagree that you do not understand with the following terms. \n\n1, you can log in immediately after the character transfer serial number is activated. \n2. You have process the items in the character backpack before the character transfer application, and the tradable items cannot be transferred. \n3. This function is only used for the transfer of characters between personal accounts. If it is used for offline transactions, there may be risks and losses that need to be borne by yourself. The official is out of response. \n4. Character transfer will charge 2 ""sealed oath"" as a service fee, and please prepare in advance. \n5. The character should meet the transfer conditions; otherwise, it cannot be transferred."
en_1754,"I understand the above disclaimerm, and agree to generate character serial number."
en_1755,"I understand the above disclaimerm, and agree to activate character."
en_1756,"It takes %u TC to generate a character serial number."
en_1757,"It takes %u TC to activate a character."
en_1758,"Confirm to generate a character serial number"
en_1759,"Confirm to activate a character"
en_1760,"Generate a character serial number"
en_1761,"Activate a character"
en_1762,"Character Attributes"
en_1763,"Usage of Attribute Property"
en_1764,"Bag"
en_1765,"Character Warehouse"
en_1766,"Memory Spring"
en_1767,"Elixir of Attributes"
en_1768,"Numbers: %u"
en_1769,"Serial Number Expire Date: %s"
en_1770,"Character Data"
en_1771,"Success to generate a character serial number."
en_1772,"Character Serial Number"
en_1773,"Copy"
en_1774,"Character Serial Number Expire Date: %s"
en_1775,"Click the button below to return to login interface. \nIf you want to view the Character Serial Number again, you should view in the character select interface."
en_1776,"Return to Login Interface"
en_1777,"Character Serial Number can not be empty."
en_1778,"Please enter Character Serial Number"
en_1779,"Confirm"
en_1780,"Success to activate character."
en_1781,"The time you can generate another Character Serial Number: %s"
en_1782,"Login again, you can choose the character your want."
en_1783,"Your character is waiting to delete, you cannot login unless cancel delete."
en_1784,"Novice Scroll"
en_1785,"Upgrade Exp Cube"
en_1786,"Consumables"
en_1787,"Two-handed bow"
en_1788,"One-handed bow"
en_1789,"Two-handed spear"
en_1790,"One-handed Blunt"
en_1791,"Two-handed staff"
en_1792,"One-handed staff"
en_1793,"lantern"
en_1794,"Food"
en_1795,"Quest property"
en_1796,"Pet property"
en_1797,"Gift box"
en_1798,"Type: %s\n"
en_1799,"\fD Your atttack to \f=%s \fD trig rune skill \f=%s \fD, thus you suffered \f=%d rebound damage."
en_1800,"\f=%s \fD attact you and it trig rune skill \f=%s \fD, thus he suffered \f=%d rebound damage."
en_1801,"Wind magic"
en_1802,"Fire magic"
en_1803,"Earth magic"
en_1804,"Water magic"
en_1805,"Thunder magic"
en_1806,"Extracting game resources... (Time remaining %u:%u)"
en_1807,"null"
en_1808,"Please choose the relevant order content from the left."
en_1809,"Lv+1"
en_1810,"Please drag equipment from your bag to the equipment grid above."
en_1811,"success rate is %s"
en_1812,"Please drag rune from your bag to the rune grid above."
en_1813,"Replace Rune"
en_1814,"Replace"
en_1815,"Are you sure to replace the previous rune above with the new one below? \nAfter replacement, the previous one will be disappeared."
en_1816,"Please select the rune to remove."
en_1817,"Remove"
en_1818,"Are you sure to remove this rune?"
en_1819,"It may happens probabily with one result of the following three."
en_1820,"Please drag three rune in the same level from your bag and fill in the rune grid above."
en_1821,"Please confirm to punch or not."
en_1822,"Please confirm to precision forging or not."
en_1823,"\fKPhy/Mgc Rd"
en_1824,"\fKSpd(Atk/Mov)"
en_1825,"\f>Condition: Can be used after baptism\n"
en_1826,"\f=Attribute points cannot exceed %u"
en_1827,"Holy Spirit Weapon"
en_1828,"Sublime Castle Weapon to Holy Spirit Weapon"
en_1829,"Weapon sublimation"
en_1830,"sublime"
en_1831,"Max Rune Lv: %d\n"
en_1832,"Holy Spirit Stone"
en_1833,"More..."
en_1834,"Material Rune\nX2"
en_1835,"all material\ndiassperanrt.."
en_1836,"Enchant failed, lost all material"
en_1837,"Enchant failed, lost one material rune"
en_1838,"Enchant failed, but lost nothing"
en_1839,"Enchant successed, gain a xxx rune."
en_1840,"\f>Limit: Can be used before baptism\n"
en_1841,"Upgrade Synthesis"
en_1842,"Upgrade"
en_1843,"Confirm"
en_1844,"\f22.12 Related to runes"
en_1845,"\f22.11.1 Holes"
en_1846,"\f22.11.2 Rune"
en_1847,"\f22.12 Holy Baptism"
en_1848,"Not enougn rune."
en_1849,"You can only put rune with the same level."
en_1850,"(This operation is include inlay and replace rune.)"
en_1851,"Strike"
en_1852,"Focus"
en_1853,"Shoot"
en_1854,"Accurate"
en_1855,"Magic Damage"
en_1856,"Concentrate"
en_1857,"Charisma"
en_1858,"Strength"
en_1859,"Dexterity"
en_1860,"Ethereal"
en_1861,"Water"
en_1862,"Earth"
en_1863,"Fire"
en_1864,"Wind"
en_1865,"Strong"
en_1866,"役魔"
en_1867,"Protect"
en_1868,"Magic Resistance"
en_1869,"Health Point"
en_1870,"Magic Point"
en_1871,"Hard Rock"
en_1872,"Magic fountain"
en_1873,"Water Protect"
en_1874,"Earth Protect"
en_1875,"Wind Protect"
en_1876,"Fire Protect"
en_1877,"Avoid"
en_1878,"Evasion"
en_1879,"HP Regen"
en_1880,"MP Regen"
en_1881,"Attack Immunity"
en_1882,"Magic Immunity"
en_1883,"Attack reduction"
en_1884,"Magic reduction"
en_1885,"Thunder"
en_1886,"\f3This type of rune is different with the seleced equipment."
en_1887,"根据相关政策规定，未曾实名认证的玩家受到游戏试玩时长限制，您的当前试玩时间已结束，请进行实名认证以解锁账户限制。"
en_1888,"根据相关政策规定，未曾实名认证的玩家无法在游戏内进行充值。如您想进行充值，请进行实名认证。"
en_1889,"根据相关政策规定，未成年玩家平日每日游戏时长不得超过1.5小时，节假日每日不得超过3小时。您今日的游戏时间已结束。"
en_1890,"根据相关政策规定，每日22时至次日8时不可向未成年人提供游戏服务。您今日的游戏时间已结束。"
en_1891,"Alchemy"
en_1892,"Alchemize"
en_1893,"Refine Element Source Crystal"
en_1894,"Refine"
en_1895,"Fire Source Crystal"
en_1896,"Water Source Crystal"
en_1897,"Wind Source Crystal"
en_1898,"Earth Source Crystal"
en_1899,"Element Source Crystal"
en_1900,"Activate"
en_1901,"Refill to collect"
en_1902,"Detect a root machine: Reference Number%d"
en_1903,"Detect Emulator: Reference Number%d"
en_1904,"Detect suspected plug-in app: %s"
en_1905,"Detect suspected plug-in app: Reference Number%d"
en_1906,"Loading"
en_1907,"Awake"
en_1908,"You cannot learn awake spells until awake. Find God of the Moon in Elven Garden. Elf can choose one of element power, in Wind, Fire, Water, Earth. Dark Elf can choose Cursed or Shadow power. You can only choose one power when you awake. \n "
en_1909,"Awaken wind magic"
en_1910,"Awaken fire magic"
en_1911,"Awaken earth magic"
en_1912,"Awaken water magic"
en_1913,"Awaken cursed magic"
en_1914,"Awaken darkness magic"
en_1915,"\f7Max Magic reduction: %d"
en_1916,"\f>[Dark Elf]"
en_1917,"Explanation of Recommendation 1 \nAdvantages: High physical damage and critical rate, more clan members\n disadvantages: Moderate Hp and defense\n\nTraining direction\nCritical Damage\nSelected weapon with high physical damage and Armor which reduce damage, provide more defence or strength attribute equips. The attribute points after Lv 50 should be allocated to charm and strength, to ensure that charm points reach 36 (maximum crit chance)"
en_1918,"Explanation of Recommendation 2 \nAdvantages: High physical damage and viability\n disadvantages: Moderate Hp and defense\n\nTraining Direction\nDamage with viability\nSelected weapon with high physical damage and Armor which reduce damage, provide more defence or strength attribute equips. The attribute points after Lv 50 should be allocated to wisdom and strength, to ensure that can fight wildly for long."
en_1919,"Please notice the login or binded acccount, make sure your device login a Apple ID for two-factor authentication \n and iClound is enable."
en_1920,"Apple login need iOS 13.0 and above. Please upgrade your system before binding"
en_1921,"Advantages: High melee damage \nDisadvantages: Low defence and weak viability in low level\n\n\fWWeapon Recommendation:\nClaws or Dual Blades\f>\n\nTraining direction\nCritical Damage\nSelected claws or dual blades and Armor which increase avoid, provide more defence or strength attribute equips. Choose Shadow Talent when character awake, the attribute points after Lv 50 should be allocated to strength mainly for higher critical damage, a constitution for more Hp and viability."
en_1922,"Advantages: gauntlet with ranged damage attribute points provide high ranged damage \nDisadvantages: weak in viability  \n\n\fWWeapon Recommendation:\nGauntlet\f>\n\nTraining direction\nCritical Damage\nSelected gauntlet and throwing knives as weapon and Armor which increase avoid, provide more defence or dexterity attribute equips. Choose Shadow Talent when character awake, the attribute points after Lv 50 should be allocated to strength mainly for higher critical damage, a constitution for more Hp and viability."
en_1923,"推荐3说明\n优势：\n劣势：\n\n培养方向"
en_1924,"推荐4说明\n优势：\n劣势：\n\n培养方向"
en_1925,"Refine Dark Magic Stone"
en_1926,"Dark Magic Stone"
en_1927,"Refine"
en_1928,"Dark Elf"
en_1929,"Dark Elf Class Spells"
en_1930,"Dark Elf Magic Note"
en_1931,"Dual Blades"
en_1932,"Gauntlet"
en_1933,"Claws"
en_1934,"Name"
en_1935,"Current Price"
en_1936,"Leading Clan"
en_1937,"End Time"
en_1938,"Attention"
en_1939,"Operation"
en_1940,"Buyer"
en_1941,"Result"
en_1942,"Participant"
en_1943,"Attention"
en_1944,"Auctioned"
en_1945,"Clan Resource:"
en_1946,"Deal"
en_1947,"Bid"
en_1948,"Watch"
en_1949,"Clan House Auction"
en_1950,"Lead"
en_1951,"Out"
en_1952,"Participating Clan"
en_1953,"Bid Time"
en_1954,"Status"
en_1955,"Markup Amplitude"
en_1956,"\f3No bid"
en_1957,"\f3You don't have a clan"
en_1958,"\f3Out of clan resource and bid failure"
en_1959,"\f3You can't make attension to clan house finish bidding."
en_1960,"Throwing Knife"
en_1961,"Shuriken"
en_1962,"Elder's Note Bag"
en_1963,"万能药礼盒"
en_1964,"Please type clan ID"
en_1965,"Please type clan ID to search"
en_1966,"√"
en_1967,"×"
en_1968,"Cancel"
en_1969,"Apply"
en_1970,"Contact"
en_1971,"ID"
en_1972,"Warflag"
en_1973,"Lv"
en_1974,"Maintain"
en_1975,"Require"
en_1976,"Search"
en_1977,"Please type a reason:"
en_1978,"Maintaince Confirm:"
en_1979,"Blessing Received Require: Clan level higher than or equal to Lv2, and maintaince noral"
en_1980,"Please confirm to consume the following %s, Clan Exp and Clan Resource to maintaince your clan?\n%s: %d\nClan Exp: %d\nClan Resource: %d"
en_1981,"Leave Clan Confirmation"
en_1982,"When you leave the clan, honor points will reset to 0 and uncollected clan reward will disappear. Are you sure to leave?"
en_1983,"Honor points: %d"
en_1984,"Vice Leader"
en_1985,"Date"
en_1986,"Memeber"
en_1987,"Online"
en_1988,"Resign Position"
en_1989,"Upgrade"
en_1990,"Downgrade"
en_1991,"Silence"
en_1992,"End Silence"
en_1993,"Agree"
en_1994,"Refuse"
en_1995,"Add to friend list"
en_1996,"Success"
en_1997,"Failure"
en_1998,"Required Applicant Lv: %d"
en_1999,"Number:"
en_2000,"Clan House:"
en_2001,"Status:"
en_2002,"Exp:"
en_2003,"Resource:"
en_2004,"Core Member"
en_2005,"Personal Info"
en_2006,"Experience:"
en_2007,"Resource:"
en_2008,"Blessing:"
en_2009,"Donate"
en_2010,"Blessing"
en_2011,"Clan Promotion"
en_2012,"Clan Lv:"
en_2013,"Exp Limit:"
en_2014,"Resource:"
en_2015,"Promote Exp:"
en_2016,"Promote Res:"
en_2017,"Promotion"
en_2018,"Daily Maintaince Consume"
en_2019,"Clan Exp:"
en_2020,"Resource:"
en_2021,"Maintain Status: %s"
en_2022,"Maintain"
en_2023,"Accession Approval"
en_2024,"Applicant"
en_2025,"Lv"
en_2026,"Reason to apply"
en_2027,"Modify"
en_2028,"Authorization"
en_2029,"Distribute"
en_2030,"Clan Info"
en_2031,"Members"
en_2032,"Manage"
en_2033,"Type Wrong"
en_2034,"Record"
en_2035,"Access Record"
en_2036,"Deposit"
en_2037,"Withdraw"
en_2038,"Confirm to silence"
en_2039,"Are you sure to make \f= %s \f> silence \f= %s \f>?"
en_2040,"Please choose how long to be silence:"
en_2041,"Silence"
en_2042,"Cancel"
en_2043,"%d minuites"
en_2044,"%d hours"
en_2045,"Silence"
en_2046,"Resource Donation"
en_2047,"Click to type numbers(<=%d)"
en_2048,"Accquire Honor:"
en_2049,"Your typing is wrong."
en_2050,"Are you sure to donate \n\f=%s X %d\n\f> for \f2%d\n\f> Clan resource? You can get \f2%d\n\f> honor points."
en_2051,"Donate Confirmation"
en_2052,"Wanted to donate:"
en_2053,"Numbers:"
en_2054,"Resource Increase:"
en_2055,"Donate Times:"
en_2056,"Teon Coin"
en_2057,"Gold"
en_2058,"Donate"
en_2059,"Clan Promotion"
en_2060,"Promotion Confirmation"
en_2061,"Are you confirmed that consume the following clan exp and resources to promote to Lv %d?  \n\nClan Exp: %d\nClan Resource: %d"
en_2062,"Promote Consumption"
en_2063,"Exp"
en_2064,"Resource"
en_2065,"After Promotion(Limitation)"
en_2066,"Clan Lv"
en_2067,"Memeber"
en_2068,"Exp"
en_2069,"Resource"
en_2070,"Extract Grade Setting"
en_2071,"Change to:"
en_2072,"at least"
en_2073,"Blessing Received"
en_2074,"Recevied Confirm"
en_2075,"Are you confirmed that consume \f3%d \f>  honor points to get a buff\f= %s \f>?"
en_2076,"Get buff notice: \nYou can only keep one clan buff at the same time. It will be replaced if you already have a clan buff. \nBuff valid time %d mins; \nWhen you are dead, or buff is overtime and destructive, the buff will disappear;\nConsume: %d\n Daily times: %d/%d"
en_2077,"Please select the status"
en_2078,"Receive"
en_2079,"Please select the items to be distributed"
en_2080,"you have selected a wrong clan menmber, please refresh the clan member list"
en_2081,"Please select an assigned clan member"
en_2082,"Please select the member who can distribute."
en_2083,"Confirm to distribute"
en_2084,"Are you sure to distribute reward to selected clan members?"
en_2085,"Select distribute"
en_2086,"Name of the members"
en_2087,"Cls/Lv"
en_2088,"Select"
en_2089,"Distribute record in the past seven days"
en_2090,"Name of Members"
en_2091,"Cls/Lv"
en_2092,"Reward"
en_2093,"Manage"
en_2094,"Distribute now"
en_2095,"Record"
en_2096,"My Reward"
en_2097,"Welfare Warehouse"
en_2098,"Consume Honor Points: %d"
en_2099,"Existing Honor Points: %d"
en_2100,"My Reward"
en_2101,"Record"
en_2102,"Welfare Warehouse Describe"
